"word","definition"
"abas","A cutaneous disease; the scald-head. porrigo"
"able","Having the necessary powers or the needed resources to accomplish a task."
"abs","(informal) The abdominal muscles"
"abut","(intransitive) To touch by means of a mutual border, edge or end; to border on; to lie adjacent (to); to be contiguous (said of an area of land)"
"agar","A gelatinous substance obtained from red algae, especially Gracilaria species, used as a bacterial culture medium, in electrophoresis and as a food additive."
"ages","(with the) History (past events): Astronomic and geologic history; human history."
"ailed","simple past and past participle of ail"
"aim","The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it."
"air","(uncountable) The substance constituting Earth's atmosphere: a gaseous mixture of nitrogen, oxygen, and various trace gases."
"airts","third-person singular simple present indicative of airt"
"ait","An island in a river, especially the River Thames in England."
"ajar","Being at variance or in contradiction to something."
"amah","(Singapore, Malaysia, Brunei, Indonesia) A female domestic helper; a maid."
"anal","(not comparable) Of, related to, intended for or involving the anus. [from 18th c.]"
"anas","plural of ana"
"and","(music, often informal) In rhythm, the second half of a divided beat."
"aneles","third-person singular simple present indicative of anele"
"anil","The indigo shrub; or the indigo dye obtained from the plant."
"animal","(sciences) A multicellular organism of the kingdom Animalia that is usually mobile, with cells that are not encased in a rigid cell wall (distinguishing them from plants and fungi) and derives energy solely from the consumption of other organisms."
"anon","An anonymous person, traditionally especially a published author but now especially an internet rando."
"ante","(poker) In poker and other games, the contribution made by all players to the pot, often before dealing all the cards."
"ape","An anthropoid of the superfamily Hominoidea, generally larger than monkeys and distinguished from them by having no tail."
"arak","A clear, unsweetened aniseed-flavoured alcoholic drink, produced and consumed primarily in the Levant."
"aras","plural of ara"
"arb","(finance, trading) The act of or potential for arbitrage."
"are","second-person singular simple present of be"
"aril","(botany) A tissue surrounding the seed in certain fruits such as pomegranates."
"ark","A spacious type of boat with a flat bottom."
"arm","(anatomy) The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand."
"aryl","(organic chemistry) Any univalent organic radical derived from an aromatic hydrocarbon by removing a hydrogen atom."
"ass","(now often vulgar from conflation with etymology 2, noun sense 1) A stupid or inconsiderate person."
"asset","A thing or quality that has value, especially one that generates cash flows."
"ate","A respectful title or form of address for an older woman."
"atlas","A bound collection of maps often including tables, illustrations or other text."
"atp","(Internet slang, text messaging) Initialism of at this point."
"ats","plural of at"
"auks","plural of auk"
"ave","A reverential salutation."
"aver","(ambitransitive) To assert the truth of (something); to affirm (something) with confidence; to declare (something) in a positive manner."
"avi","(Internet slang, informal) An avatar displayed by a user's profile on a social networking site."
"avid","Enthusiastic; keen; eager; showing great interest in something or desire to do something."
"avo","A subdivision of currency, equal to one hundredth of a Macanese pataca."
"ayr","(Isle of Man) father"
"baas","(South Africa) An employer, a boss (frequently used as a form of address)."
"bad","Harmful, especially unhealthy; liable to cause health problems."
"bag","To gain possession of something, or to make first claim on something."
"bah","(sometimes humorous) Expressing contempt, disgust, or bad temper."
"bal","(Cornwall) The surface of a mine."
"ban","(transitive) To prohibit; to interdict; to proscribe; to forbid or block from participation."
"bard","A professional poet and singer, like among the ancient Celts, whose occupation was to compose and sing verses in honor of the heroic achievements of princes and brave men."
"bat","Any flying mammal of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous."
"bats","(informal) Mad, insane."
"bed","(countable) A piece of furniture, usually flat and soft, on which to rest or sleep."
"ben","A Scottish or Irish mountain or high peak."
"bid","An offer at an auction, or to carry out a piece of work."
"big","Someone or something that is large in stature."
"bin","A box, frame, crib, or enclosed place, used as a storage container."
"bis","(music, law) Twice; showing that something is, or is to be, repeated, such as a passage of music, or an item in accounts."
"bod","(slang) The body."
"bog","An area of decayed vegetation (particularly sphagnum moss) which forms a wet spongy ground too soft for walking."
"bol","(informal) bolognese"
"bonk","(skateboarding, snowboarding) To hit something with the front of the board, especially in midair."
"bor","(Norfolk, Suffolk) man (not used for children)."
"bot","The larva of a botfly, which infests the skin of various mammals, producing warbles, or the nasal passage of sheep, or the stomach of horses."
"bots","plural of bot"
"boy","(loosely, diminutive, especially with a possessive) A son of any age."
"bra","An item of clothing, usually underwear worn to support the breasts."
"brag","A boast or boasting; bragging; ostentatious pretence or self-glorification."
"bro","(slang) Brother, my man, good sir; a friendly term of address for typically men."
"bros","plural of bro"
"bud","A newly sprouted leaf or blossom that has not yet unfolded."
"bun","A roll of hair worn at the back of the head."
"buns","(Canada, US, euphemistic, childish) The buttocks."
"bur","A rough, prickly husk around the seeds or fruit of some plants."
"burg","(Canada, US) A city or town."
"bus","(automotive) A motor vehicle for transporting large numbers of people along roads."
"but","Used to repeat an adverb for emphasis; simply; just; absolutely."
"buts","plural of but"
"cal","calcium hydroxide, slaked lime"
"cam","A turning or sliding piece which imparts motion to a rod, lever or block brought into sliding or rolling contact with it."
"cap","(transitive) To take a screenshot or to record a copy of a video."
"cav","Clipping of cavalry"
"caw","To make the harsh cry of a crow, rook, or raven."
"cit","Clipping of citation"
"civ","Abbreviation of civil."
"cod","Any of various types of sea fish or the meat from said fish."
"coom","(Scotland) The wooden centering on which a bridge is built."
"cor","A Hebrew unit of liquid volume, about equal to 230 L or 60 gallons."
"cork","A bottle stopper made from this or any other material."
"corp","Alternative form of corp.."
"cos","(chiefly UK) Synonym of romaine lettuce, a long-leaved variety of lettuce."
"cram","The act of cramming (forcing or stuffing something)."
"dab","A soft tap or blow; a blow or peck from a bird's beak; an aimed blow."
"dag","A dangling lock of sheep’s wool matted with dung."
"dah","(Myanmar) A long knife or sword with a round cross-section grip, a long, gently curving blade with a single edge, and no guard."
"dahs","plural of dah"
"dam","The water reservoir resulting from placing such a structure."
"dan","(mining) A small truck or sledge used in coal mines."
"dap","(West Country, Somerset, Bristol, Wales, usually in the plural) A plimsoll."
"dar","African-American Vernacular form of there."
"dart","A pointed missile weapon, intended to be thrown by the hand; for example, a short lance or javelin."
"darter","Any member of the family Anhingidae, waterbirds with long necks."
"daw","A western jackdaw, Coloeus monedula, a passerine bird in the crow family (Corvidae), more commonly called jackdaw."
"deb","(informal) A debutante (a young woman who makes her first formal appearance in society)."
"debut","A performer's first performance to the public, in sport, the arts or some other area."
"decaf","(informal) A decaffeinated coffee, tea, or soft drink."
"decal","A design or picture produced in order to be transferred to another surface either permanently or temporarily."
"deem","(ditransitive) To hold in belief or estimation; to adjudge as a conclusion; to regard as being; to evaluate according to one's beliefs; to account."
"deep","Extending far down from the top, or surface, to the bottom, literally or figuratively."
"deeps","plural of deep"
"deer","(countable; in particular) Such a mammal that is in the family Cervidae."
"def","(African-American Vernacular, slang) Excellent; very good."
"deffer","comparative form of def: more def"
"deg","(mathematics, countable) Abbreviation of degree."
"del","(mathematical analysis) The symbol ∇ used to denote the gradient operator."
"deliver","To bring or transport something to its destination."
"delos","plural of delo"
"dem","(Caribbean, Jamaica, MLE, slang) (clitic, suffix) A group of."
"demit","(transitive) To let fall; to depress; to yield."
"den","A small cavern or hollow place in the side of a hill, or among rocks; especially, a cave used by a wild animal for shelter or concealment."
"denier","One who denies or forbids something."
"denies","third-person singular simple present indicative of deny"
"denim","A textile often made of cotton with a distinct diagonal pattern."
"dep","(law, informal) A deposition."
"depot","A storage space for public transport and other vehicles where they can be maintained and from which they are dispatched for service."
"der","Nonstandard form of there."
"desserts","plural of dessert"
